id,user_id,movie_id,rating
1,1,2,5
3,1,4,4
4,1,5,3
5,1,6,3
7,1,10,5
8,1,12,5
9,1,14,4
11,1,23,4
12,1,24,4
13,1,26,3
14,1,27,2
15,1,29,1
16,1,31,5
17,1,32,5
18,1,36,3
19,1,37,2
20,1,45,3
21,1,47,2
22,1,51,5
23,1,52,5
24,1,54,4
25,1,55,3
26,1,59,1
27,1,60,5
28,1,61,5
29,1,62,5
30,1,63,4
31,1,64,4
33,1,66,3
34,1,67,2
35,1,69,1
36,1,70,5
37,1,71,5
38,1,72,5
39,1,74,4
42,1,79,1
43,1,82,5
44,1,83,4
45,1,85,3
46,1,89,1
49,1,92,5
50,1,93,4
51,1,94,4
53,1,100,5
54,2,1,5
55,2,2,5
56,2,3,5
57,2,6,3
58,2,7,3
59,2,8,2
61,2,10,4
62,2,11,5
63,2,13,5
64,2,14,4
65,2,16,3
66,2,18,2
69,2,23,5
70,2,25,4
71,2,29,2
72,2,33,5
73,2,35,4
75,2,40,4
76,2,41,5
77,2,42,5
78,2,46,3
79,2,47,3
81,2,53,5
82,2,55,4
83,2,56,3
84,2,58,2
85,2,62,5
86,2,63,5
87,2,65,4
89,2,71,5
90,2,75,4
92,2,77,3
94,2,82,5
95,2,83,5
98,2,86,3
99,2,88,2
101,2,90,4
102,2,91,5
103,2,93,5
105,2,96,3
106,2,98,2
107,2,100,4
108,3,2,5
109,3,3,5
110,3,4,5
111,3,5,4
112,3,8,3
113,3,11,4
114,3,12,5
115,3,15,4
116,3,17,3
117,3,22,5
119,3,27,3
120,3,28,3
122,3,30,4
123,3,31,4
124,3,33,5
126,3,37,3
127,3,38,3
128,3,39,2
129,3,44,5
131,3,46,4
132,3,48,3
133,3,50,4
134,3,52,5
135,3,53,5
136,3,54,5
138,3,57,3
139,3,59,2
141,3,63,5
142,3,64,5
143,3,66,4
144,3,67,3
145,3,70,4
146,3,75,4
147,3,76,4
148,3,77,3
150,3,79,2
151,3,80,4
153,3,82,5
154,3,84,5
155,3,89,2
156,3,91,4
157,3,93,5
158,3,94,5
159,3,97,3
160,3,100,4
162,4,2,4
163,4,3,5
164,4,4,5
165,4,5,5
166,4,7,4
167,4,8,3
169,4,13,5
170,4,14,5
171,4,16,4
172,4,21,4
173,4,23,5
174,4,24,5
175,4,25,5
177,4,33,5
179,4,35,5
180,4,36,4
181,4,38,3
182,4,40,3
183,4,43,5
184,4,44,5
185,4,45,5
188,4,52,4
189,4,55,5
190,4,58,3
191,4,60,3
192,4,62,4
193,4,69,3
194,4,70,3
195,4,72,4
196,4,73,5
197,4,74,5
198,4,75,5
199,4,76,4
200,4,78,3
201,4,79,3
202,4,85,5
203,4,86,4
204,4,90,3
205,4,93,5
206,4,94,5
207,4,98,3
208,4,99,3
209,5,1,3
211,5,8,4
214,5,15,5
215,5,16,5
216,5,17,4
218,5,21,3
219,5,23,4
221,5,25,5
222,5,27,4
223,5,29,3
224,5,30,3
225,5,32,4
226,5,33,4
227,5,34,5
229,5,36,5
230,5,37,4
231,5,38,4
232,5,41,3
233,5,42,4
234,5,45,5
238,5,51,3
239,5,56,5
240,5,59,3
241,5,61,3
242,5,63,4
243,5,65,5
244,5,67,4
245,5,68,4
246,5,70,3
247,5,71,3
248,5,74,5
249,5,77,4
250,5,78,4
251,5,79,3
252,5,87,4
253,5,88,4
254,5,91,3
255,5,92,4
257,5,98,4
260,6,7,5
262,6,11,3
263,6,15,5
264,6,17,5
267,6,23,4
268,6,27,5
269,6,28,4
270,6,29,4
271,6,30,2
272,6,33,4
274,6,37,5
275,6,40,2
276,6,41,3
277,6,42,3
278,6,46,5
279,6,47,5
280,6,49,4
281,6,50,2
282,6,52,3
283,6,54,4
284,6,56,5
285,6,57,5
286,6,59,4
287,6,60,2
288,6,62,3
289,6,64,4
290,6,67,5
292,6,72,3
293,6,74,4
296,6,78,4
297,6,81,3
299,6,87,5
300,6,91,3
301,6,95,5
302,6,96,5
303,6,97,5
304,6,98,4
305,6,99,4
306,6,100,2
307,7,3,3
308,7,5,4
309,7,9,4
310,7,12,3
311,7,14,4
313,7,19,4
314,7,22,3
315,7,23,3
317,7,28,5
319,7,33,3
320,7,34,4
321,7,35,4
322,7,36,5
323,7,37,5
324,7,38,5
325,7,40,2
326,7,42,3
327,7,46,5
328,7,49,4
329,7,50,2
330,7,53,3
331,7,54,4
332,7,56,5
333,7,57,5
334,7,60,2
335,7,61,2
336,7,62,3
337,7,64,4
338,7,65,4
341,7,69,4
342,7,70,2
343,7,77,5
345,7,81,2
347,7,84,4
349,7,94,4
350,7,95,4
351,7,98,5
353,8,4,3
354,8,5,4
355,8,6,4
357,8,9,5
360,8,12,2
361,8,13,3
362,8,14,3
363,8,17,5
364,8,19,5
365,8,21,2
366,8,22,2
367,8,25,4
369,8,28,5
370,8,29,5
371,8,30,1
372,8,31,2
374,8,39,5
375,8,41,2
376,8,43,3
377,8,44,3
